checkpoint_name,checkpoint_step,scene_token,variant,method_key,method_label,action_gate_scale,action_vector_scale,comparison_mode,correct_model_mode,comparison_model_mode,correct_local_file,comparison_local_file,correct_remote_relpath,comparison_remote_relpath,future_rgb_mae_correct_vs_mode,future_temporal_delta_mae_correct_vs_mode
step_006000,6000,0081c4821701,,v4_main_text_r128_partial,V4 main text rank128 trained until r32/r64 completed,1.0,1.0,reversed_future,v4_main_text_r128_partial_step006000_correct,v4_main_text_r128_partial_step006000_reversed_future,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_correct_g1p000_seed231_all5/generated_action_lora/step_006000/scene_0081c4821701_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_reversed_future_g1p000_seed231_all5/generated_action_lora/step_006000/scene_0081c4821701_49ctx_72future_action_lora_step006000_reversed_future_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step006000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00260_scene_0081c4821701_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00275_scene_0081c4821701_49ctx_72future_action_lora_step006000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,2.0644670415807655,2.59678857651115
step_006000,6000,0081c4821701,,v4_main_text_r128_partial,V4 main text rank128 trained until r32/r64 completed,1.0,1.0,shuffled,v4_main_text_r128_partial_step006000_correct,v4_main_text_r128_partial_step006000_shuffled,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_correct_g1p000_seed231_all5/generated_action_lora/step_006000/scene_0081c4821701_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_shuffled_g1p000_seed231_all5/generated_action_lora/step_006000/scene_0081c4821701_49ctx_72future_action_lora_step006000_shuffled_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step006000_shuffled_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00260_scene_0081c4821701_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00270_scene_0081c4821701_49ctx_72future_action_lora_step006000_shuffled_g1p000_v1p000_seed231_24fps_121f.mp4,2.399394635800962,2.9272028963330765
step_006000,6000,0081c4821701,,v4_main_text_r128_partial,V4 main text rank128 trained until r32/r64 completed,1.0,1.0,zero,v4_main_text_r128_partial_step006000_correct,v4_main_text_r128_partial_step006000_zero,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_correct_g1p000_seed231_all5/generated_action_lora/step_006000/scene_0081c4821701_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_zero_g1p000_seed231_all5/generated_action_lora/step_006000/scene_0081c4821701_49ctx_72future_action_lora_step006000_zero_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step006000_zero_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00260_scene_0081c4821701_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00265_scene_0081c4821701_49ctx_72future_action_lora_step006000_zero_g1p000_v1p000_seed231_24fps_121f.mp4,2.078569765444155,2.628756814159698
step_006000,6000,00c73f2a3515,,v4_main_text_r128_partial,V4 main text rank128 trained until r32/r64 completed,1.0,1.0,reversed_future,v4_main_text_r128_partial_step006000_correct,v4_main_text_r128_partial_step006000_reversed_future,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_correct_g1p000_seed231_all5/generated_action_lora/step_006000/scene_00c73f2a3515_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231/scene_00c73f2a3515_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_reversed_future_g1p000_seed231_all5/generated_action_lora/step_006000/scene_00c73f2a3515_49ctx_72future_action_lora_step006000_reversed_future_g1p000_v1p000_seed231/scene_00c73f2a3515_49ctx_72future_action_lora_step006000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00261_scene_00c73f2a3515_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00276_scene_00c73f2a3515_49ctx_72future_action_lora_step006000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,1.2467970671477142,1.3353122478359742
step_006000,6000,00c73f2a3515,,v4_main_text_r128_partial,V4 main text rank128 trained until r32/r64 completed,1.0,1.0,shuffled,v4_main_text_r128_partial_step006000_correct,v4_main_text_r128_partial_step006000_shuffled,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_correct_g1p000_seed231_all5/generated_action_lora/step_006000/scene_00c73f2a3515_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231/scene_00c73f2a3515_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_shuffled_g1p000_seed231_all5/generated_action_lora/step_006000/scene_00c73f2a3515_49ctx_72future_action_lora_step006000_shuffled_g1p000_v1p000_seed231/scene_00c73f2a3515_49ctx_72future_action_lora_step006000_shuffled_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00261_scene_00c73f2a3515_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00271_scene_00c73f2a3515_49ctx_72future_action_lora_step006000_shuffled_g1p000_v1p000_seed231_24fps_121f.mp4,1.2732421027289496,1.4430210310528535
step_006000,6000,00c73f2a3515,,v4_main_text_r128_partial,V4 main text rank128 trained until r32/r64 completed,1.0,1.0,zero,v4_main_text_r128_partial_step006000_correct,v4_main_text_r128_partial_step006000_zero,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_correct_g1p000_seed231_all5/generated_action_lora/step_006000/scene_00c73f2a3515_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231/scene_00c73f2a3515_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_zero_g1p000_seed231_all5/generated_action_lora/step_006000/scene_00c73f2a3515_49ctx_72future_action_lora_step006000_zero_g1p000_v1p000_seed231/scene_00c73f2a3515_49ctx_72future_action_lora_step006000_zero_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00261_scene_00c73f2a3515_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00266_scene_00c73f2a3515_49ctx_72future_action_lora_step006000_zero_g1p000_v1p000_seed231_24fps_121f.mp4,1.221138353700991,1.4205585175276922
step_006000,6000,00f755ca8954,,v4_main_text_r128_partial,V4 main text rank128 trained until r32/r64 completed,1.0,1.0,reversed_future,v4_main_text_r128_partial_step006000_correct,v4_main_text_r128_partial_step006000_reversed_future,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_correct_g1p000_seed231_all5/generated_action_lora/step_006000/scene_00f755ca8954_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231/scene_00f755ca8954_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_reversed_future_g1p000_seed231_all5/generated_action_lora/step_006000/scene_00f755ca8954_49ctx_72future_action_lora_step006000_reversed_future_g1p000_v1p000_seed231/scene_00f755ca8954_49ctx_72future_action_lora_step006000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00262_scene_00f755ca8954_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00277_scene_00f755ca8954_49ctx_72future_action_lora_step006000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,2.5682750278049045,2.1405040758876175
step_006000,6000,00f755ca8954,,v4_main_text_r128_partial,V4 main text rank128 trained until r32/r64 completed,1.0,1.0,shuffled,v4_main_text_r128_partial_step006000_correct,v4_main_text_r128_partial_step006000_shuffled,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_correct_g1p000_seed231_all5/generated_action_lora/step_006000/scene_00f755ca8954_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231/scene_00f755ca8954_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_shuffled_g1p000_seed231_all5/generated_action_lora/step_006000/scene_00f755ca8954_49ctx_72future_action_lora_step006000_shuffled_g1p000_v1p000_seed231/scene_00f755ca8954_49ctx_72future_action_lora_step006000_shuffled_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00262_scene_00f755ca8954_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00272_scene_00f755ca8954_49ctx_72future_action_lora_step006000_shuffled_g1p000_v1p000_seed231_24fps_121f.mp4,10.789856239601418,5.079629387654049
step_006000,6000,00f755ca8954,,v4_main_text_r128_partial,V4 main text rank128 trained until r32/r64 completed,1.0,1.0,zero,v4_main_text_r128_partial_step006000_correct,v4_main_text_r128_partial_step006000_zero,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_correct_g1p000_seed231_all5/generated_action_lora/step_006000/scene_00f755ca8954_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231/scene_00f755ca8954_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_zero_g1p000_seed231_all5/generated_action_lora/step_006000/scene_00f755ca8954_49ctx_72future_action_lora_step006000_zero_g1p000_v1p000_seed231/scene_00f755ca8954_49ctx_72future_action_lora_step006000_zero_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00262_scene_00f755ca8954_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00267_scene_00f755ca8954_49ctx_72future_action_lora_step006000_zero_g1p000_v1p000_seed231_24fps_121f.mp4,2.923601927580657,2.3223965783634095
step_006000,6000,01d758be9706,,v4_main_text_r128_partial,V4 main text rank128 trained until r32/r64 completed,1.0,1.0,reversed_future,v4_main_text_r128_partial_step006000_correct,v4_main_text_r128_partial_step006000_reversed_future,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_correct_g1p000_seed231_all5/generated_action_lora/step_006000/scene_01d758be9706_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231/scene_01d758be9706_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_three_epoch_continuation_generated/distilled098_full112_lowfreq_motion_v4_b200_three_epoch_24fps_minterpolate_seed231_runs/v4_main_text_r128_partial_step006000_reversed_future_g1p000_seed231_all5/generated_action_lora/step_006000/scene_01d758be9706_49ctx_72future_action_lora_step006000_reversed_future_g1p000_v1p000_seed231/scene_01d758be9706_49ctx_72future_action_lora_step006000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00263_scene_01d758be9706_49ctx_72future_action_lora_step006000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_three_epoch_continuation_seed231_eval_counterfactual/counterfactual/00278_scene_01d758be9706_49ctx_72future_action_lora_step006000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,1.6701815569842304,1.3858921248028535
