model_mode,encoder,step,fvd_future,fvd_backend,fvd_num_videos,fvd_num_frames,fvd_size,fvd_feature_dim,fvd_device
v4_main_text_r128_partial_step000000,v4_main_text_r128_partial_step000000,0,91.4907161532777,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r128_partial_step000100,v4_main_text_r128_partial_step000100,100,88.2206749758567,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r128_partial_step000250,v4_main_text_r128_partial_step000250,250,86.87153923966187,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r128_partial_step000500,v4_main_text_r128_partial_step000500,500,84.33037030718953,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r128_partial_step000750,v4_main_text_r128_partial_step000750,750,89.45011715931724,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r128_partial_step001000,v4_main_text_r128_partial_step001000,1000,84.85776691676597,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r128_partial_step001500,v4_main_text_r128_partial_step001500,1500,87.1005076567626,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r128_partial_step002000,v4_main_text_r128_partial_step002000,2000,86.16989288798354,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r128_partial_step002500,v4_main_text_r128_partial_step002500,2500,90.09959462366922,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r128_partial_step003000,v4_main_text_r128_partial_step003000,3000,89.67816764940827,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r128_partial_step004000,v4_main_text_r128_partial_step004000,4000,86.15090550750517,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r128_partial_step005000,v4_main_text_r128_partial_step005000,5000,86.71998896843732,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r128_partial_step006000,v4_main_text_r128_partial_step006000,6000,83.48720491590268,torchvision_r3d18_kinetics400,5,16,112,512,cuda
