stratum,model_key,counterfactual_action_mode,num_clips,mean_future_mse,mean_future_mae,mean_future_psnr,mean_future_global_ssim,mean_generated_future_laplacian_sharpness,mean_sharpness_ratio_generated_over_reference,mean_fft_high_frequency_energy_ratio_generated_over_reference,mean_motion_ratio_generated_over_reference,mean_low_frequency_motion_ratio_generated_over_reference,mean_temporal_delta_error_mae,mean_low_frequency_temporal_delta_error_mae,mean_boundary_mae_ratio_generated_over_reference,mean_copy_leakage_ratio_min_context_over_future
accelerate,noaction_shifted_step003000,correct,408,2316.445340165905,27.382546764962814,16.18066098622411,0.6471025417698593,66.86711039496403,0.2754621223047651,0.9708203585932736,0.8011031803966395,0.7876840747059404,7.934986426841979,7.9495611810216715,1.1082793279922856,1.0338759213942983
accelerate,v4_r64_selected_step018000,correct,408,2297.804910435396,27.419031353557813,16.283314237954695,0.6503176913487431,64.64300782657138,0.25797214485477954,0.9354838802523989,0.7764811646216767,0.763887425921784,7.86697823890284,7.881310121393671,1.103735119820929,1.0314648888360796
accelerate,v4_r64_selected_step018000,reversed_future,408,2301.420852128197,27.44631809346816,16.276406286915467,0.6495791582180948,64.95069055580625,0.2592102259764136,0.9402443566967693,0.7791591222607389,0.7663016080706647,7.870629048522781,7.884802463300088,1.100620679466049,1.031358951902854
accelerate,v4_r64_selected_step018000,shuffled,408,2297.6900723588233,27.424827837476542,16.279892932732515,0.6496385798653738,64.66575437433579,0.2578949646892682,0.9367461859811013,0.7774827323732733,0.7647709758380271,7.865083566191149,7.879229945002818,1.1029786099624617,1.0319663290452332
accelerate,v4_r64_selected_step018000,zero,408,2299.518504413904,27.431939314393436,16.278853626360892,0.649672262260595,64.77960184742423,0.25775704652814696,0.9384580856160221,0.7762723071082916,0.7636603520854982,7.866506577122445,7.88069008816691,1.1090686472441578,1.0293117875622024
all,noaction_shifted_step003000,correct,1904,1940.8303929577355,24.41575424360628,17.152755942547092,0.7078929567255967,67.52768877812294,0.24340030997439677,0.9224652132408949,1.1466519061369118,1.097281382916255,7.104068531130417,7.123811030697797,0.8744331512548235,1.2025310566092036
all,v4_r64_selected_step018000,correct,1904,1945.0821645880947,24.589242831498634,17.179893340914873,0.7081620769900965,66.06067501121208,0.23261773954374249,0.8950769423222793,1.135900816144821,1.0869094342908212,7.071160680872678,7.089938670803769,0.9118777801178145,1.1984528908312935
all,v4_r64_selected_step018000,reversed_future,1904,1945.6718105187938,24.5940229181482,17.181862811005995,0.707996654998699,66.00745834034531,0.23259012945999635,0.8950460296841383,1.139238511755614,1.089813967529996,7.073199373458614,7.092169883840976,0.9137536018624506,1.1982031129131037
all,v4_r64_selected_step018000,shuffled,1904,1943.8262791653642,24.58166511770056,17.18640330072838,0.708023005390209,66.01237554860717,0.23249022219315751,0.8947352770319982,1.1346878570747563,1.0856042706978322,7.067813112016986,7.086617829450288,0.9177066574160305,1.1986870380836212
all,v4_r64_selected_step018000,zero,1904,1944.8500255396386,24.588132021306944,17.18399060361787,0.708028318561632,66.02004712657268,0.2322448804019593,0.8947960276693231,1.1399652989325717,1.0903515115720679,7.071359187677628,7.09029048042638,0.9230632300530802,1.1981806553755667
