checkpoint_name,checkpoint_step,scene_token,variant,method_key,method_label,action_gate_scale,action_vector_scale,comparison_mode,correct_model_mode,comparison_model_mode,correct_local_file,comparison_local_file,correct_remote_relpath,comparison_remote_relpath,future_rgb_mae_correct_vs_mode,future_temporal_delta_mae_correct_vs_mode
step_001000,1000,0081c4821701,,v4_main_text_r32,V4 main text rank32 B200 one epoch,1.0,1.0,reversed_future,v4_main_text_r32_step001000_correct,v4_main_text_r32_step001000_reversed_future,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r32_step001000_correct_g1p000_seed231_all5/generated_action_lora/step_001000/scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r32_step001000_reversed_future_g1p000_seed231_all5/generated_action_lora/step_001000/scene_0081c4821701_49ctx_72future_action_lora_step001000_reversed_future_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step001000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00060_scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00075_scene_0081c4821701_49ctx_72future_action_lora_step001000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,2.614107273243092,3.3192344271521055
step_001000,1000,0081c4821701,,v4_main_text_r64,V4 main text rank64 B200 one epoch,1.0,1.0,reversed_future,v4_main_text_r64_step001000_correct,v4_main_text_r64_step001000_reversed_future,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r64_step001000_correct_g1p000_seed231_all5/generated_action_lora/step_001000/scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r64_step001000_reversed_future_g1p000_seed231_all5/generated_action_lora/step_001000/scene_0081c4821701_49ctx_72future_action_lora_step001000_reversed_future_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step001000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00120_scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00135_scene_0081c4821701_49ctx_72future_action_lora_step001000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,2.8298651377360025,3.435504608870672
step_001000,1000,0081c4821701,,v4_main_text_r32,V4 main text rank32 B200 one epoch,1.0,1.0,shuffled,v4_main_text_r32_step001000_correct,v4_main_text_r32_step001000_shuffled,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r32_step001000_correct_g1p000_seed231_all5/generated_action_lora/step_001000/scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r32_step001000_shuffled_g1p000_seed231_all5/generated_action_lora/step_001000/scene_0081c4821701_49ctx_72future_action_lora_step001000_shuffled_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step001000_shuffled_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00060_scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00070_scene_0081c4821701_49ctx_72future_action_lora_step001000_shuffled_g1p000_v1p000_seed231_24fps_121f.mp4,2.155040740966797,2.6654316360401995
step_001000,1000,0081c4821701,,v4_main_text_r64,V4 main text rank64 B200 one epoch,1.0,1.0,shuffled,v4_main_text_r64_step001000_correct,v4_main_text_r64_step001000_shuffled,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r64_step001000_correct_g1p000_seed231_all5/generated_action_lora/step_001000/scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r64_step001000_shuffled_g1p000_seed231_all5/generated_action_lora/step_001000/scene_0081c4821701_49ctx_72future_action_lora_step001000_shuffled_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step001000_shuffled_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00120_scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00130_scene_0081c4821701_49ctx_72future_action_lora_step001000_shuffled_g1p000_v1p000_seed231_24fps_121f.mp4,2.4215530819363065,3.0079160878356075
step_001000,1000,0081c4821701,,v4_main_text_r32,V4 main text rank32 B200 one epoch,1.0,1.0,zero,v4_main_text_r32_step001000_correct,v4_main_text_r32_step001000_zero,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r32_step001000_correct_g1p000_seed231_all5/generated_action_lora/step_001000/scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r32_step001000_zero_g1p000_seed231_all5/generated_action_lora/step_001000/scene_0081c4821701_49ctx_72future_action_lora_step001000_zero_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step001000_zero_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00060_scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00065_scene_0081c4821701_49ctx_72future_action_lora_step001000_zero_g1p000_v1p000_seed231_24fps_121f.mp4,2.4069492198802807,3.1026650728754035
step_001000,1000,0081c4821701,,v4_main_text_r64,V4 main text rank64 B200 one epoch,1.0,1.0,zero,v4_main_text_r64_step001000_correct,v4_main_text_r64_step001000_zero,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r64_step001000_correct_g1p000_seed231_all5/generated_action_lora/step_001000/scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r64_step001000_zero_g1p000_seed231_all5/generated_action_lora/step_001000/scene_0081c4821701_49ctx_72future_action_lora_step001000_zero_g1p000_v1p000_seed231/scene_0081c4821701_49ctx_72future_action_lora_step001000_zero_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00120_scene_0081c4821701_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00125_scene_0081c4821701_49ctx_72future_action_lora_step001000_zero_g1p000_v1p000_seed231_24fps_121f.mp4,2.629025353325738,3.2650155797250955
step_001000,1000,00c73f2a3515,,v4_main_text_r32,V4 main text rank32 B200 one epoch,1.0,1.0,reversed_future,v4_main_text_r32_step001000_correct,v4_main_text_r32_step001000_reversed_future,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r32_step001000_correct_g1p000_seed231_all5/generated_action_lora/step_001000/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r32_step001000_reversed_future_g1p000_seed231_all5/generated_action_lora/step_001000/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_reversed_future_g1p000_v1p000_seed231/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00061_scene_00c73f2a3515_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00076_scene_00c73f2a3515_49ctx_72future_action_lora_step001000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,1.2990875950566045,1.4329303866820715
step_001000,1000,00c73f2a3515,,v4_main_text_r64,V4 main text rank64 B200 one epoch,1.0,1.0,reversed_future,v4_main_text_r64_step001000_correct,v4_main_text_r64_step001000_reversed_future,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r64_step001000_correct_g1p000_seed231_all5/generated_action_lora/step_001000/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r64_step001000_reversed_future_g1p000_seed231_all5/generated_action_lora/step_001000/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_reversed_future_g1p000_v1p000_seed231/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00121_scene_00c73f2a3515_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00136_scene_00c73f2a3515_49ctx_72future_action_lora_step001000_reversed_future_g1p000_v1p000_seed231_24fps_121f.mp4,1.31139486807364,1.4580051619122285
step_001000,1000,00c73f2a3515,,v4_main_text_r32,V4 main text rank32 B200 one epoch,1.0,1.0,shuffled,v4_main_text_r32_step001000_correct,v4_main_text_r32_step001000_shuffled,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r32_step001000_correct_g1p000_seed231_all5/generated_action_lora/step_001000/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r32_step001000_shuffled_g1p000_seed231_all5/generated_action_lora/step_001000/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_shuffled_g1p000_v1p000_seed231/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_shuffled_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00061_scene_00c73f2a3515_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00071_scene_00c73f2a3515_49ctx_72future_action_lora_step001000_shuffled_g1p000_v1p000_seed231_24fps_121f.mp4,1.333303522180628,1.4337732735933832
step_001000,1000,00c73f2a3515,,v4_main_text_r64,V4 main text rank64 B200 one epoch,1.0,1.0,shuffled,v4_main_text_r64_step001000_correct,v4_main_text_r64_step001000_shuffled,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r64_step001000_correct_g1p000_seed231_all5/generated_action_lora/step_001000/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,<repo>/data/b200_v4_rank_capacity_generated/distilled098_full112_lowfreq_motion_v4_b200_rank_capacity_24fps_minterpolate_seed231_runs/v4_main_text_r64_step001000_shuffled_g1p000_seed231_all5/generated_action_lora/step_001000/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_shuffled_g1p000_v1p000_seed231/scene_00c73f2a3515_49ctx_72future_action_lora_step001000_shuffled_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00121_scene_00c73f2a3515_49ctx_72future_action_lora_step001000_correct_g1p000_v1p000_seed231_24fps_121f.mp4,b200_v4_rank_capacity_seed231_counterfactual/counterfactual/00131_scene_00c73f2a3515_49ctx_72future_action_lora_step001000_shuffled_g1p000_v1p000_seed231_24fps_121f.mp4,1.300482502690068,1.46854726585424
