variant,method_key,checkpoint_step,action_gate_scale,action_vector_scale,comparison_mode,num_clips,mean_future_rgb_mae_correct_vs_mode,mean_future_temporal_delta_mae_correct_vs_mode
,v4_main_text_r16_continue,15984,1.0,1.0,reversed_future,5,2.9863384388111256,2.2704193115234377
,v4_main_text_r16_continue,15984,1.0,1.0,shuffled,5,2.254112724021629,2.0145346055008435
,v4_main_text_r16_continue,15984,1.0,1.0,zero,5,1.769009554827655,1.8442417341778536
,v4_main_text_r16_continue,22000,1.0,1.0,reversed_future,5,3.8107177169234667,2.5643854132280666
,v4_main_text_r16_continue,22000,1.0,1.0,shuffled,5,2.7407239702012802,2.2701330910266284
,v4_main_text_r16_continue,22000,1.0,1.0,zero,5,1.928430938720703,1.8846868094144291
,v4_main_text_r16_continue,23976,1.0,1.0,reversed_future,5,3.391989898681641,2.499198963720474
,v4_main_text_r16_continue,23976,1.0,1.0,shuffled,5,3.5149465631555628,2.5592726443295186
,v4_main_text_r16_continue,23976,1.0,1.0,zero,5,3.441659616540979,2.505092825016505
,v4_main_text_r32,1000,1.0,1.0,reversed_future,5,1.8940430959065755,1.9007252294692634
,v4_main_text_r32,1000,1.0,1.0,shuffled,5,1.7125244705765337,1.7008066240050983
,v4_main_text_r32,1000,1.0,1.0,zero,5,1.7619712829589844,1.8175661615362748
,v4_main_text_r32,3000,1.0,1.0,reversed_future,5,1.7316184856273509,1.7296451335781615
,v4_main_text_r32,3000,1.0,1.0,shuffled,5,1.9558781517876518,1.877669815278389
,v4_main_text_r32,3000,1.0,1.0,zero,5,1.7770105150010849,1.7694215443212662
,v4_main_text_r32,7992,1.0,1.0,reversed_future,5,2.3725607412832757,1.9798310758922022
,v4_main_text_r32,7992,1.0,1.0,shuffled,5,2.9661959895381225,2.2407957694899867
,v4_main_text_r32,7992,1.0,1.0,zero,5,2.5230324497929324,2.089834422796545
,v4_main_text_r64,1000,1.0,1.0,reversed_future,5,1.8357859152334708,1.8651006707563087
,v4_main_text_r64,1000,1.0,1.0,shuffled,5,1.9917090521918404,1.9078782632317342
,v4_main_text_r64,1000,1.0,1.0,zero,5,1.786235498498987,1.8238510490023472
,v4_main_text_r64,3000,1.0,1.0,reversed_future,5,3.2011653900146486,2.2304415277472125
,v4_main_text_r64,3000,1.0,1.0,shuffled,5,1.913376024034288,1.7734472140459947
,v4_main_text_r64,3000,1.0,1.0,zero,5,3.4392194677282264,2.4018346222353655
,v4_main_text_r64,7992,1.0,1.0,reversed_future,5,3.4899943033854166,2.3843725499972495
,v4_main_text_r64,7992,1.0,1.0,shuffled,5,3.9770354235613787,2.5140321256968896
,v4_main_text_r64,7992,1.0,1.0,zero,5,1.7036864104094327,1.6977397793335534
