model_mode,encoder,step,fvd_future,fvd_backend,fvd_num_videos,fvd_num_frames,fvd_size,fvd_feature_dim,fvd_device
v4_main_text_r16_continue_step015984,v4_main_text_r16_continue_step015984,15984,90.06599489391937,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r16_continue_step018000,v4_main_text_r16_continue_step018000,18000,90.27121754798574,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r16_continue_step020000,v4_main_text_r16_continue_step020000,20000,87.32748559041107,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r16_continue_step022000,v4_main_text_r16_continue_step022000,22000,89.42235196109198,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r16_continue_step023976,v4_main_text_r16_continue_step023976,23976,88.46535400994026,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step000000,v4_main_text_r32_step000000,0,84.07137679469304,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step000100,v4_main_text_r32_step000100,100,85.07908370510168,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step000250,v4_main_text_r32_step000250,250,86.67221689084101,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step000500,v4_main_text_r32_step000500,500,87.59097769482378,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step000750,v4_main_text_r32_step000750,750,87.3013860804582,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step001000,v4_main_text_r32_step001000,1000,86.98566145740702,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step001500,v4_main_text_r32_step001500,1500,85.65163864727907,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step002000,v4_main_text_r32_step002000,2000,86.53427908975542,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step002500,v4_main_text_r32_step002500,2500,85.13550247089083,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step003000,v4_main_text_r32_step003000,3000,89.8071258031971,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step004000,v4_main_text_r32_step004000,4000,85.24062607814602,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step005000,v4_main_text_r32_step005000,5000,88.293600166565,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step006000,v4_main_text_r32_step006000,6000,89.15343032440813,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step007000,v4_main_text_r32_step007000,7000,83.15364290414968,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r32_step007992,v4_main_text_r32_step007992,7992,87.42714447984667,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step000000,v4_main_text_r64_step000000,0,89.18854690665046,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step000100,v4_main_text_r64_step000100,100,89.73262076401485,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step000250,v4_main_text_r64_step000250,250,86.07182779255643,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step000500,v4_main_text_r64_step000500,500,86.73067661527864,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step000750,v4_main_text_r64_step000750,750,86.75147352378991,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step001000,v4_main_text_r64_step001000,1000,85.52082227950447,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step001500,v4_main_text_r64_step001500,1500,85.33231549970978,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step002000,v4_main_text_r64_step002000,2000,87.13420219900155,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step002500,v4_main_text_r64_step002500,2500,87.48757898211323,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step003000,v4_main_text_r64_step003000,3000,83.74867444093348,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step004000,v4_main_text_r64_step004000,4000,83.2690607414323,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step005000,v4_main_text_r64_step005000,5000,86.40078003620934,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step006000,v4_main_text_r64_step006000,6000,86.98461988855655,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step007000,v4_main_text_r64_step007000,7000,87.41164449128979,torchvision_r3d18_kinetics400,5,16,112,512,cuda
v4_main_text_r64_step007992,v4_main_text_r64_step007992,7992,85.6024938001477,torchvision_r3d18_kinetics400,5,16,112,512,cuda
