model_mode,num_clips,mean_future_mse,mean_future_mae,mean_future_psnr,mean_future_global_ssim,mean_context_mse,mean_context_psnr,mean_generated_future_laplacian_sharpness,mean_sharpness_ratio_generated_over_reference,mean_fft_high_frequency_energy_ratio_generated_over_reference,mean_motion_ratio_generated_over_reference,mean_low_frequency_motion_ratio_generated_over_reference,mean_temporal_delta_error_mae,mean_low_frequency_temporal_delta_error_mae,mean_boundary_mae_ratio_generated_over_reference,mean_copy_leakage_ratio_min_context_over_future,method_key,checkpoint_step,future_fvd_style
v4_main_text_r16_continue_step015984,5,2328.915719604492,26.59529867172241,17.206950781088484,0.6982283244407835,53.94261245727539,31.47500247243935,84.17986259460449,0.37030577500439443,0.9935169528980738,0.7245488311019278,0.7205586301881597,9.374773120880127,9.386571407318115,0.5815288944547252,1.0780095078747851,v4_main_text_r16_continue,15984,90.06599489391937
v4_main_text_r16_continue_step018000,5,2328.6969940185545,26.589971256256103,17.207549570706778,0.6982080775921691,53.904104995727536,31.479737496391767,84.02125282287598,0.37088924386491773,0.9923193837351694,0.7249371164951491,0.7203066843207344,9.369535064697265,9.375101947784424,0.5935780690282233,1.0794224174885314,v4_main_text_r16_continue,18000,90.27121754798574
v4_main_text_r16_continue_step020000,5,2330.4580047607424,26.619360542297365,17.203798406792153,0.6985511991685327,53.96670989990234,31.47414399216234,84.7181640625,0.3732278525663437,0.9945926684978215,0.7268585845353088,0.7224849076104962,9.380044555664062,9.386702632904052,0.5864332642328203,1.0785864007154016,v4_main_text_r16_continue,20000,87.32748559041107
v4_main_text_r16_continue_step022000,5,2325.4337310791016,26.56955966949463,17.209952668646615,0.6985843252258086,53.98988990783691,31.473647783197798,84.64849662780762,0.37202814144484164,0.9910970594686545,0.723875300420705,0.7198420990356157,9.368828058242798,9.375776290893555,0.5894530818338503,1.0791501974019204,v4_main_text_r16_continue,22000,89.42235196109198
v4_main_text_r16_continue_step023976,5,2328.6960357666017,26.601981449127198,17.213540866157267,0.6989122703136338,53.93206100463867,31.47845265770049,83.80447425842286,0.36916870227293674,0.9902920945689839,0.722654949713297,0.7179627887029503,9.346315288543702,9.348671388626098,0.5955971440219785,1.0815146200334758,v4_main_text_r16_continue,23976,88.46535400994026
v4_main_text_r32_step000000,5,2328.962252807617,26.624134063720703,17.210487384003404,0.6984361938306343,53.95564994812012,31.476407839544578,84.70546054840088,0.37303071445034175,0.9928808622079874,0.7245564278924248,0.7197746229641944,9.360262441635133,9.362876796722412,0.5946408872906954,1.0796696250153592,v4_main_text_r32,0,84.07137679469304
v4_main_text_r32_step000100,5,2326.1747467041014,26.58985300064087,17.213455855190176,0.6991272753723077,53.9462028503418,31.47762333126115,83.53972511291504,0.36951535973458244,1.0014852055567798,0.7214810885429697,0.716908052962938,9.337413930892945,9.334207487106323,0.5804155485431781,1.0805285033285812,v4_main_text_r32,100,85.07908370510168
v4_main_text_r32_step000250,5,2327.7029083251955,26.596551513671876,17.21298533874708,0.6986654004617929,53.97493324279785,31.473215571291554,83.44191265106201,0.3686337582042233,0.9987214455157087,0.7218777731269062,0.7172994478821294,9.337893104553222,9.339135694503785,0.5882019230420845,1.0802289021842193,v4_main_text_r32,250,86.67221689084101
v4_main_text_r32_step000500,5,2332.0030212402344,26.61651039123535,17.200790725826703,0.6984897868459028,53.97814292907715,31.474899728161716,83.70667572021485,0.3688303348327915,0.9908240357285696,0.7252062356218192,0.720370603668548,9.368830108642578,9.375616359710694,0.5901588199661342,1.0787304400826474,v4_main_text_r32,500,87.59097769482378
v4_main_text_r32_step000750,5,2324.518405151367,26.548949337005617,17.218210608647986,0.6990901618266534,53.85911521911621,31.482700507938254,83.61374359130859,0.3696158587939309,0.991130301908399,0.723139096632692,0.718159794443595,9.362007522583008,9.365553855895996,0.5956493863368276,1.07800423904576,v4_main_text_r32,750,87.3013860804582
